,,,"Toronto, City [Census subdivision], Ontario",,,,,,"Toronto, Census division [Census division], Ontario"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Place of work status","  Worked at usual place",, 1094805,,  531360,,  563445,, 1094805,,  531360,,  563440,
"Commuting destination","Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data",, 1094800,,  531360,,  563445,, 1094805,,  531360,,  563445,
"Commuting destination","  Commute within census subdivision (CSD) of residence",,  884040,,  405530,,  478505,,  884040,,  405530,,  478505,
"Commuting destination","  Commute to a different census subdivision (CSD) within census division (CD) of residence",,       0,,       0,,       0,,       0,,       0,,       0,
"Commuting destination","  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence",,  208165,,  124305,,   83855,,  208160,,  124310,,   83855,
"Commuting destination","  Commute to a different province or territory",,    2605,,    1520,,    1080,,    2605,,    1520,,    1080,
"Main mode of commuting","Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data",175, 1251055,,  639405,,  611650,, 1251055,,  639400,,  611655,
"Main mode of commuting","  Car; truck; van - as a driver",,  575260,,  348270,,  226990,,  575255,,  348270,,  226985,
"Main mode of commuting","  Car; truck; van - as a passenger",,   57170,,   21245,,   35925,,   57170,,   21240,,   35925,
"Main mode of commuting","  Public transit",,  463005,,  192300,,  270705,,  463000,,  192300,,  270705,
"Main mode of commuting","  Walked",,  107665,,   49540,,   58125,,  107665,,   49540,,   58125,
"Main mode of commuting","  Bicycle",,   34355,,   21245,,   13110,,   34355,,   21245,,   13110,
"Main mode of commuting","  Other method",,   13605,,    6800,,    6805,,   13610,,    6805,,    6805,
"Commuting duration","Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data",176, 1251055,,  639400,,  611655,, 1251055,,  639405,,  611655,
"Commuting duration","  Less than 15 minutes",,  152755,,   74720,,   78035,,  152750,,   74720,,   78035,
"Commuting duration","  15 to 29 minutes",,  354570,,  183060,,  171510,,  354565,,  183060,,  171510,
"Commuting duration","  30 to 44 minutes",,  359230,,  189620,,  169610,,  359230,,  189620,,  169615,
"Commuting duration","  45 to 59 minutes",,  181675,,   90685,,   90990,,  181675,,   90685,,   90990,
"Commuting duration","  60 minutes and over",,  202830,,  101320,,  101510,,  202830,,  101320,,  101510,
"Time leaving for work","Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data",177, 1251055,,  639400,,  611655,, 1251055,,  639400,,  611655,
"Time leaving for work","  Between 5 a.m. and 5:59 a.m.",,   56235,,   38495,,   17740,,   56235,,   38495,,   17745,
"Time leaving for work","  Between 6 a.m. and 6:59 a.m.",,  162435,,   96815,,   65620,,  162440,,   96815,,   65625,
"Time leaving for work","  Between 7 a.m. and 7:59 a.m.",,  305355,,  146795,,  158560,,  305355,,  146795,,  158560,
"Time leaving for work","  Between 8 a.m. and 8:59 a.m.",,  335840,,  156755,,  179085,,  335840,,  156755,,  179085,
"Time leaving for work","  Between 9 a.m. and 11:59 a.m.",,  200780,,   97300,,  103480,,  200780,,   97300,,  103480,
"Time leaving for work","  Between 12 p.m. and 4:59 a.m.",,  190410,,  103240,,   87165,,  190410,,  103240,,   87170,
"Language used most often at work","Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1; 2015 - 25% sample data",178, 1559535,,  792290,,  767240,, 1559535,,  792295,,  767245,
"Language used most often at work","  Single responses",, 1522980,,  774885,,  748100,, 1522985,,  774885,,  748095,
"Language used most often at work","    Official languages",, 1476170,,  749750,,  726425,, 1476170,,  749750,,  726420,
"Language used most often at work","      English",, 1469910,,  747820,,  722090,, 1469915,,  747820,,  722085,
"Language used most often at work","      French",,    6255,,    1925,,    4330,,    6255,,    1925,,    4335,
"Language used most often at work","    Non-official languages",,   46810,,   25135,,   21675,,   46810,,   25140,,   21675,
"Language used most often at work","      Aboriginal languages",,      10,,      10,,       0,,       0,,       0,,       0,
"Language used most often at work","        Algonquian languages",,      10,,       0,,      10,,       0,,       0,,      10,
"Language used most often at work","          Blackfoot",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Cree-Montagnais languages",,      10,,       0,,       0,,      10,,       0,,      10,
"Language used most often at work","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Moose Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Northern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Plains Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Swampy Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Woods Cree",,      10,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Cree; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Eastern Algonquian languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Malecite",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Mi'kmaq",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Ojibway-Potawatomi languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Algonquin",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Ojibway",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Oji-Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Ottawa (Odawa)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Athabaskan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","          Northern Athabaskan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Carrier",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Chilcotin",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Dene",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Dogrib (Tlicho)",,       0,,       0,,       0,,       0,,       0,,       0,
